COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,,"$ 5,400","$ 5,400",ROGUE Fires,,,,No,,,Artillery Weapons System,"Procurement, Marine Corps",Navy,Procurement,
,,"$ 5,000",,Advanced GPS equipment and grade control systems,,,,No,,,Family of Construction Equipment,"Procurement, Marine Corps",Navy,Procurement,
,,"$ 5,000",,Secure 5G OpenRAN technology,,,,Yes,,,Marine Corps Enterprise Network (MCEN),"Procurement, Marine Corps",Navy,Procurement,
,,"$ 150,000",,Spares and repair parts,,,,No,,,Spares and Repair Parts,"Procurement, Marine Corps",Navy,Procurement,
,"$ 5,000",,,Mobile Ad-Hoc Network Technologies,65,"Hudson (NC), Moylan (GU)",,No,,,UAS Payloads,"Procurement, Marine Corps",Navy,Procurement,"O&M, Defense-Wide"
,"$ 5,000","$ 2,000","$ 5,000",Explosion welding industrial base / Explosion welding facilities industrial base,,,,Yes,,,Columbia Class Submarine,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 18,600","$ 18,600",Tube/propulsor facilitization,,,,No,,,Columbia Class Submarine,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 700,000","$ 400,000",Frigate 62–67,,,,No,,,Completion of PY Shipbuilding Programs,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 1,000,000",,FY24 Virginia-class submarines (emergency),,,,No,,Yes,Completion of PY Shipbuilding Programs,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 60,000","$ 60,000",T–ATS Navajo-class ships,,,,No,,,Completion of PY Shipbuilding Programs,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 1,542,700","$ 1,542,700",Additional funding for 3rd FY25 DDG 51,,,,No,,,DDG–51,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 41,500","$ 41,500",Advance procurement for DDG 51 option ship (emergency),,,,No,,Yes,DDG–51 [AP–CY],"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 100,000","$ 100,000",Frigate industrial base and workforce development,,,,Yes,,,FFG–Frigate,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 195,000",,LHA 10 advance procurement (emergency),,,,No,,Yes,LHA Replacement [AP–CY],"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 250,000",,LPD 34 advance procurement (emergency),,,,No,,Yes,LPD Flight II [AP–CY],"Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 250,000",,LPD 35 advance procurement (emergency),,,,No,,Yes,LPD Flight II [AP–CY],"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$ 30,000","$ 30,000","$ 30,000",One additional YRBM,,,,No,,,Service Craft,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$ 417,000","$ 417,000","$ 480,000",Three additional SSCs / Three additional SSCs (emergency),,,,Yes,,Yes,Ship to Shore Connector,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$ 334,461",,,Long lead material for two T-AO ship sets,,,,Yes,,,TAO Fleet Oiler (AP-CY),"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$ 60,000",,,Program increase,,,,Yes,,,"Towing, Salvage, and Rescue Ship (ATS)","Shipbuilding and Conversion, Navy",Navy,Procurement,
,,"$ 357,000",,Submarine class material second ship set,,,,No,,,Virginia Class Submarine,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$ 1,000",,,To emphasize that submarine industrial base money should go to workforce development programs,91,LaLota (NY),,No,Navy,,Virginia Class Submarine (AP),"Shipbuilding and Conversion, Navy",Navy,Procurement,"Procurement, Navy"
,,"$ 25,000",,LRASM–C3,,,,No,Marine Corps,,LRASM,"Weapons Procurement, Navy",Navy,Procurement,
,,"$ 18,900","$ 18,900",Mk-48 heavy weight torpedo,,,,No,Navy,,Mk-48 Torpedo,"Weapons Procurement, Navy",Navy,Procurement,
,,"$ 50,000",,Mk-48 heavy weight torpedo (emergency),,,,No,Navy,Yes,Mk-48 Torpedo,"Weapons Procurement, Navy",Navy,Procurement,
,,"$ 50,000",,Spares and repair parts,,,,No,,,Spares and Repair Parts,"Weapons Procurement, Navy",Navy,Procurement,
,,,"$ 7,500",Arm fire device manufacturing and qualification for solid rocket motors,,,Yes,Yes,,,Standard Missile,"Weapons Procurement, Navy",Navy,Procurement,
,"$ 10,000",,"$ 10,000",SM-6 obsolescence,,,,No,INDOPACOM,,Standard Missile,"Weapons Procurement, Navy",Navy,Procurement,
,,,"$ 80,000",Accelerate development and qualification of alternative source solid rocket motors,,,Yes,Yes,,,Weapons Industrial Facilities,"Weapons Procurement, Navy",Navy,Procurement,
,"$ 2,500",,,"Digital Transformation of Aircraft Gun Systems for the F-15, F-16, and F-22 M61 gun systems",148,"Scott, Austin (GA), Kiggans (VA)",,Yes,,,ACQ Workforce - Global Reach,,Air Force,RDT&E,"O&M, Air Force"
,,"$ 3,000",,Modernize wide area networks,,,,Yes,,,Acquisition and Management Support,,Air Force,RDT&E,
,,"$ 5,000",,Airborne early warning pod digital radar technology,,,,No,,,Advanced Aerospace Sensors,,Air Force,RDT&E,
,,"$ 6,000",,Secure work readiness for duty,,,,Yes,,,Advanced Distributed Learning,,Air Force,RDT&E,
,,,"$ 100,000",Program Increase,,,Yes,No,,,Advanced Engine Development,,Air Force,RDT&E,
,"$ 5,000","$ 2,500","$ 2,500","For the Metals Affordability Initiative, a collaborative effort managed by the Air Force Research Laboratory to ensure the continued advancement of metals technologies for the betterment of the warfighter, industry, and the public consumer / Metals affordability initiative",176,Turner (OH),,No,,,Advanced Materials for Weapon Systems,,Air Force,RDT&E,"O&M, Air Force"
,"$ 5,000",,,Supersonic UAV development supporting NGAT,,,,Yes,,,Aerial Targets,,Air Force,RDT&E,
,"$ 10,000","$ 3,000","$ 3,000","Advanced fuel technologies for hypersonics aerospace propulsion / Advanced aerospace fuels for hypersonic propulsion / Advanced fuel technologies for aerospace propulsion, specifically hypersonics",,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,"$ 5,000",,,Aerospace propulsion research,,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,,"$ 2,000",,Autonomous systems and space environment interactions,,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,,"$ 7,000",,Compact scramjet testing,,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,"$ 10,000","$ 3,000",,High mach turbine engine (HMTE) development / High mach turbine engine,,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,,"$ 5,000",,"Hypersonic research, testing, and diagnostic development",,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,,"$ 4,000",,Military aircraft engine durability and repair improvements,,,,No,,,Aerospace Propulsion,,Air Force,RDT&E,
,,"$ 7,500",,"Modular, open system distributed subsystem propulsion control architecture",,,,Yes,,,Aerospace Propulsion,,Air Force,RDT&E,
,"$ 8,000",,,Novel advanced agile air platform technologies,,,,Yes,,,Aerospace Propulsion,,Air Force,RDT&E,
,"$ 7,400",,,Zero emission propulsion for aviation,,,,Yes,,,Aerospace Propulsion,,Air Force,RDT&E,
,"$ 10,000",,,Advanced solid rocket motor propulsion propellant mixer technology demonstration,,,,Yes,,,Aerospace Propulsion and Power,,Air Force,RDT&E,
,"$ 5,000",,,CCA propulsion,,,,No,,,Aerospace Propulsion and Power,,Air Force,RDT&E,
,"$ 4,000",,"$ 4,000",for layered tanks for the Air Force Research Laboratory Rocket Propulsion Division / Layered Tanks,51,Fong (CA),,Yes,,,Aerospace Propulsion and Power / Aerospace Technology Dev/Demo,,Air Force,RDT&E,"O&M, Defense-Wide"
,,"$ 15,000",,Cyber kinetic combat environment,,,,Yes,,,Aerospace Sensors,,Air Force,RDT&E,
,,"$ 5,000",,Demonstrating flexible manufacturing capabilities for defense maintenance,,,,Yes,,,Aerospace Sensors,,Air Force,RDT&E,
,,"$ 1,000",,Glass advanced packaging,,,,Yes,,,Aerospace Sensors,,Air Force,RDT&E,
,"$ 12,500",,,Automated KC-135 prototyping and design demo,,,,Yes,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$ 10,000",,"$ 10,000",Digital thread capabilities,,,,Yes,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$ 3,000",,,Hybrid integrated turret for extended capability high energy lasers,,,,Yes,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$ 14,900","$ 3,000",,Low cost attritable aircraft technology / Low-cost attritable aircraft technology for unmanned aerial systems,,,,No,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$ 10,000",,,Reentry systems test bed,,,,Yes,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$ 5,000",,,Reuseable hypersonic rocket engine flight demonstration,,,,Yes,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,,"$ 5,000",,Silicon carbide research,,,,Yes,,,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$ 10,000",,"$ 10,000",Automated low-cost aerostructure mass production,,,,Yes,,,Aerospace Vehicle Technologies,,Air Force,RDT&E,
,,"$ 5,000",,Full-scale determinant assembly for hypersonic airframe structures,,,,Yes,,,Aerospace Vehicle Technologies,,Air Force,RDT&E,
,,"$ 7,000",,Cybersecurity for industrial control systems—ground stations,,,,No,,,AF Defensive Cyberspace Operations,,Air Force,RDT&E,
,,"$ 1,000","$ 1,000",Enabling embedded systems,,,,Yes,,,AF Defensive Cyberspace Operations,,Air Force,RDT&E,
,"$ 15,000",,,PAACC-M,,,,Yes,,,AF Multi-Domain Non-Traditional ISR Battlespace Awareness,,Air Force,RDT&E,
,"$ 45,000","$ 20,000","$ 20,000",Agility Prime,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 10,000",,,Alternative process for accelerated pathway to deliver software,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 10,000",,,Autonomous eVTOL aircraft demonstration,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 10,000","$ 2,500","$ 2,500",Autonomy Prime,,,,No,,,AFWERX Prime,,Air Force,RDT&E,
,,"$ 5,000","$ 5,000",Electrification of fixed wing aircraft,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 25,000",,,Longshot,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 9,750","$ 5,000","$ 5,000",Maritime autonomous forward area refueling point for extended range UAS operations / Maritime autonomous forward area refueling point,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,,"$ 2,000","$ 2,000",Mass-produced UAS,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 10,000",,,Mission planning toolbox for thousand-scale heterogeneous UAS swarms,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,"$ 8,000",,,Multi-agent autonomous fielding,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,,"$ 7,500","$ 7,500",Rapid operational innovation detachment,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,,"$ 5,000",,Supersonic aircraft technologies,,,,Yes,,,AFWERX Prime,,Air Force,RDT&E,
,,$ 538,,PFAS free firefighting agents,,,,Yes,,,Agile Combat Support,,Air Force,RDT&E,
,"$ 8,000",,,To support equipping two KC-46A Air Refueling Tankers with a Hybrid Broadband Satcom Solution,112,"McCormick (GA), Garcia, Mike (CA)",,Yes,,,Air Refueling Capability Modernization,,Air Force,RDT&E,"O&M, Air Force"
,"$ 22,300",,,Persistent wide-area moving target engagement,,,,Yes,,,Airborne Reconnaissance Systems,,Air Force,RDT&E,
,,"$ 3,000",,Ultra long-range persistent ISR,,,,No,,,Airborne Reconnaissance Systems,,Air Force,RDT&E,
,"$ 4,000",,,Critical airborne SIGINT enterprise,,,,No,,,Airborne SIGINT Enterprise,,Air Force,RDT&E,
,"$ 8,000",,,Special programs,,,,No,,,Airborne SIGINT Enterprise,,Air Force,RDT&E,
,,"$ 4,000",,Advanced technologies to support engine operational readiness,,,,No,,,Aircraft Engine Component Improvement Program,,Air Force,RDT&E,
,"$ 15,000",,,Affordable air-launched hypersonic weapon,,,,Yes,,,Autonomous Collaborative Platforms,,Air Force,RDT&E,
,"$ 19,000",,,Bomber Aircrew Supplemental Training,100,Letlow (LA),,Yes,,,B-1B Squadrons,,Air Force,RDT&E,"RDT&E, Air Force"
,"$ 10,000",,,TENTaCLE BLOC kits for B-1B,,,,Yes,,,B-1B Squadrons,,Air Force,RDT&E,
,"$ 29,500",,"$ 29,500",B-52 modernization and sustainment technologies development,,,,No,,,B-52 Squadrons,,Air Force,RDT&E,
,,"$ 3,000","$ 3,000",Global strike innovation hub,,,,Yes,,,B-52 Squadrons,,Air Force,RDT&E,
,"$ 10,000",,"$ 10,000",B-52 agile pod,,,,Yes,,,Battlespace Knowledge Development and Demonstration,,Air Force,RDT&E,
,"$ 10,000",,"$ 10,000",Expeditionary UAS manufacturing and employment,,,,Yes,,,Battlespace Knowledge Development and Demonstration,,Air Force,RDT&E,
,,"$ 2,500","$ 2,500",Programmable computing fabric networks,,,,Yes,,,Battlespace Knowledge Development and Demonstration,,Air Force,RDT&E,
,"$ 5,000",,"$ 5,000",Translate legacy software to usable code,,,,Yes,,,Battlespace Knowledge Development and Demonstration,,Air Force,RDT&E,
,,"$ 2,000","$ 2,000",ANG enhanced flight vision system,,,,Yes,,,C-130J Program,,Air Force,RDT&E,
,"$ 5,000",,,Expeditionary UAS manufacturing and employment,,,,Yes,,,C-130J Program,,Air Force,RDT&E,
,,"$ 29,000","$ 29,000",Non-recurring engineering for polar airlift aircraft,,,,Yes,,,C-130J Program,,Air Force,RDT&E,
,,"$ 4,000","$ 4,000",Joint pacific Alaska range complex,,,,Yes,,,Combat Training Ranges,,Air Force,RDT&E,
,,"$ 10,000","$ 10,000",NC3 network sensor demonstration,,,,Yes,,,"Command, Control, Communication, and Computers (C4) - STRATCOM",,Air Force,RDT&E,
,"$ 15,000","$ 10,000","$ 10,000",NC3 Research Engineering Architecture and Collaboration Hub (REACH) / NC3 REACH,5,Bacon (NE),,No,,,"Command, Control, Communication, and Computers (C4) - STRATCOM",,Air Force,RDT&E,"O&M, Space Force"
,"$ 1,000",,,USSTRATCOM UARC priority research,5,Bacon (NE),,No,,,"Command, Control, Communication, and Computers (C4) - STRATCOM",,Air Force,RDT&E,"O&M, Space Force"
,,"$ 1,500",,Convergence technology research,,,,Yes,,,Conventional Munitions,,Air Force,RDT&E,
,"$ 6,000","$ 4,000","$ 4,000",To fund the Development of a University-led Hypervelocity Test Capability / University-led hyper-velocity test capability,37,Dunn (FL),,Yes,,,Conventional Munitions,,Air Force,RDT&E,"O&M, Defense-Wide"
,,"$ 2,000",,Harnessing the superconducting diode effect for low-energy quantum circuits,,,,Yes,,,Defense Research Sciences,,Air Force,RDT&E,
,,"$ 2,000",,Photonic devices and systems for integrated sensing and communications,,,,No,,,Defense Research Sciences,,Air Force,RDT&E,
,,"$ 2,000",,Quantum electronic research,,,,No,,,Defense Research Sciences,,Air Force,RDT&E,
,,"$ 3,000",,Ultrawideband antenna systems,,,,Yes,,,Defense Research Sciences,,Air Force,RDT&E,
,"$ 7,000",,,Digital engineering enabled workforce development,,,,No,,,Digital Transformation Office,,Air Force,RDT&E,
,,"$ 3,000",,Digital transformation of armament sustainment,,,,Yes,,,Digital Transformation Office,,Air Force,RDT&E,
,"$ 10,000",,,Digital-first ecosystem scaling,,,,Yes,,,Digital Transformation Office,,Air Force,RDT&E,
,"$ 6,800","$ 6,400",,Digital-first systems engineering,,,,Yes,,,Digital Transformation Office,,Air Force,RDT&E,
,,"$ 2,500",,Small business manufacturing digital transformation,,,,Yes,,,Digital Transformation Office,,Air Force,RDT&E,
,"$ 10,000",,,Electromagnetic pulse efforts,,,,No,,,Directed Energy Technology,,Air Force,RDT&E,
,"$ 4,000",,,Adaptive blue force tracking,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 8,000","$ 8,000","Air domain awareness for airspace safety, management and counter UAS effectiveness",,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 1,000",,CUAS air surveillance radar modernization,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 5,000",,,Cyber institute to advance research and education,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 5,000",,Cyberspace dominance technology,,,,No,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 10,000","$ 11,000","$ 11,000",Dependable AI for national security,,,,No,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 1,500",,Future cyber workforce,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 25,000",,,Future flag JADC2 operational experimentation testbed,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 5,000",,,Heterogeneously integrated photonics and electronic technologies,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 3,000",,,Modernized aviation ordnance loader development,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 7,500",,,Neutral-atom quantum networking and computing,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 10,000",,,Quantum computer UAS tracking,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 10,000",,,Quantum computing in support of C4I dominance,,,,No,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 15,000",,,Quantum entanglement distribution,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 5,000",,,Quantum entanglement on drones,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 9,500",,Quantum networking testbed and cloud computing environment,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 4,000","$ 4,500",,Quantum networking with ion trap units / Compact and deployable ion trap technology for quantum networks,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 20,000",,Quantum supply chain development,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 5,000",,,REVELATIONS AI/ML Project,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,,"$ 2,000",,Secure interference-avoiding connectivity of autonomous artificially intelligent machines,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 12,000",,"$ 12,000",TPS75 radar CUAS upgrade,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 15,000",,,Trapped ion quantum information science computer,,,,Yes,,,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$ 17,000",,"$ 17,000",Support equipment,,,,No,,,E-4B National Airborne Operations Center (NAOC),,Air Force,RDT&E,
,"$ 10,000",,,Accelerating integration into JSE,,,,Yes,,,E-7,,Air Force,RDT&E,
,,,"$ 200,000",Program Increase,,,Yes,No,,,E-7,,Air Force,RDT&E,
,,"$ 1,000",,Advanced electronic warfare systems,,,,No,,,Electronic Warfare Development,,Air Force,RDT&E,
,"$ 2,000","$ 1,000",,AI/ML EWAR / AI and machine learning enabled electronic warfare system,,,,No,,,Electronic Warfare Development,,Air Force,RDT&E,
,"$ 7,000",,,Cognitive artificial intelligence for electronic warfare,,,,No,,,Electronic Warfare Development,,Air Force,RDT&E,
,"$ 9,600",,,Electrical testing equipment,,,,No,,,F-15E Squadrons,,Air Force,RDT&E,
,,"$ 74,394",,F-15E divestment prohibition (emergency),,,,Yes,,Yes,F-15E Squadrons,,Air Force,RDT&E,
